potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
4,100	0,019	0,171	-0,982	-0,885	0,641	0,092
4,110	0,014	0,164	-0,989	-0,153	-0,031	-0,305
4,120	0,012	0,154	-0,996	0,183	-0,305	-0,549
4,130	0,010	0,148	-0,998	0,092	0,031	-0,549
4,140	0,008	0,145	-0,995	-0,305	0,610	-0,244
4,150	0,010	0,146	-0,992	-0,916	1,007	0,183
4,160	0,017	0,155	-0,984	-1,709	1,099	0,458
4,170	0,023	0,158	-0,981	-2,380	0,946	0,458
4,180	0,026	0,159	-0,985	-2,319	0,427	-0,061
4,190	0,026	0,161	-0,992	-2,167	0,031	-0,702
4,200	0,019	0,157	-0,992	-2,045	-0,092	-1,404
4,210	0,010	0,155	-0,991	-1,678	0,000	-2,136
4,220	0,006	0,156	-0,991	-1,038	0,153	-2,625
4,230	0,006	0,157	-0,992	-0,702	0,458	-2,655
4,240	0,008	0,157	-0,995	-0,916	1,038	-2,319
4,250	0,010	0,156	-0,996	-1,495	1,343	-1,770
4,260	0,014	0,157	-0,992	-2,075	1,160	-1,190
4,270	0,017	0,157	-0,991	-2,594	0,793	-0,702
4,280	0,016	0,157	-0,991	-2,899	0,458	-0,458
4,290	0,018	0,161	-0,989	-3,021	0,305	-0,275
4,300	0,018	0,163	-0,987	-3,082	0,427	-0,183
4,310	0,018	0,163	-0,986	-2,838	0,427	-0,305
4,320	0,019	0,168	-0,984	-2,472	0,488	-0,610
4,330	0,021	0,170	-0,984	-2,075	0,763	-1,099
4,340	0,024	0,172	-0,984	-1,801	0,885	-1,709
4,350	0,028	0,171	-0,984	-1,617	1,068	-2,319
4,360	0,030	0,170	-0,984	-1,434	1,160	-2,838
4,370	0,025	0,173	-0,983	-1,526	1,190	-3,143
4,380	0,022	0,171	-0,987	-2,075	1,190	-3,082
4,390	0,020	0,165	-0,991	-2,960	0,977	-2,655
4,400	0,019	0,159	-0,996	-3,906	1,038	-2,228
4,410	0,017	0,162	-0,998	-5,463	1,831	-1,984
